"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 10:29:59 GMT 2023","Fri Aug 04 10:30:18 GMT 2023","19095","chromium","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_06_Auth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'English' language",""
"broken","Fri Aug 04 10:22:51 GMT 2023","Fri Aug 04 10:23:31 GMT 2023","39900","chromium","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_06_UnReg  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Fri Aug 04 10:18:51 GMT 2023","Fri Aug 04 10:18:56 GMT 2023","4629","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Click on Swing Trading ddsds on English",""
"passed","Fri Aug 04 10:27:48 GMT 2023","Fri Aug 04 10:28:07 GMT 2023","18410","chromium","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_01_Auth  > Test button [Start Trading] in Main banner on 'English' language",""
"passed","Fri Aug 04 10:19:01 GMT 2023","Fri Aug 04 10:19:07 GMT 2023","5541","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Check route on Education Menu on العَرَبِيَّة",""
"passed","Fri Aug 04 10:20:37 GMT 2023","Fri Aug 04 10:20:54 GMT 2023","17454","chromium","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_04_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'English' language",""
"failed","Fri Aug 04 10:21:14 GMT 2023","Fri Aug 04 10:21:25 GMT 2023","11625","chromium","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_05_UnReg  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Fri Aug 04 10:28:11 GMT 2023","Fri Aug 04 10:28:37 GMT 2023","25729","chromium","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_02_Auth  > Test button [Try Demo] in Main banner on 'English' language",""
"skipped","Fri Aug 04 10:19:07 GMT 2023","Fri Aug 04 10:19:11 GMT 2023","4369","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Click on Swing Trading ddsds on العَرَبِيَّة",""
"passed","Fri Aug 04 10:29:10 GMT 2023","Fri Aug 04 10:29:30 GMT 2023","20503","chromium","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'English' language",""
"passed","Fri Aug 04 10:19:32 GMT 2023","Fri Aug 04 10:19:46 GMT 2023","13337","chromium","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_01_UnReg  > Test button [Start Trading] in Main banner on 'English' language",""
"passed","Fri Aug 04 10:26:22 GMT 2023","Fri Aug 04 10:26:44 GMT 2023","21921","chromium","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_04_UnAuth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'English' language",""
"passed","Fri Aug 04 10:18:56 GMT 2023","Fri Aug 04 10:19:01 GMT 2023","5542","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Verify Login Form on Main page on English",""
"failed","Fri Aug 04 10:26:44 GMT 2023","Fri Aug 04 10:26:46 GMT 2023","1328","chromium","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_05_UnAuth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Fri Aug 04 10:18:46 GMT 2023","Fri Aug 04 10:18:51 GMT 2023","4719","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Check route on Education Menu on English",""
"passed","Fri Aug 04 10:19:11 GMT 2023","Fri Aug 04 10:19:15 GMT 2023","4434","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Verify Login Form on Main page on العَرَبِيَّة",""
"failed","Fri Aug 04 10:25:58 GMT 2023","Fri Aug 04 10:26:22 GMT 2023","23732","chromium","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_03_UnAuth  > Test buttons [Trade] on Widget ""Most traded"" on 'English' language",""
"failed","Fri Aug 04 10:24:39 GMT 2023","Fri Aug 04 10:25:01 GMT 2023","22123","chromium","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_01_UnAuth  > Test button [Start Trading] in Main banner on 'English' language",""
"broken","Fri Aug 04 10:26:46 GMT 2023","Fri Aug 04 10:27:29 GMT 2023","43159","chromium","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_06_UnAuth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Fri Aug 04 10:19:46 GMT 2023","Fri Aug 04 10:19:48 GMT 2023","2247","chromium","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_02_UnReg  > Test button [Try Demo] in Main banner on 'English' language",""
"passed","Fri Aug 04 10:29:35 GMT 2023","Fri Aug 04 10:29:55 GMT 2023","20346","chromium","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Fri Aug 04 10:23:31 GMT 2023","Fri Aug 04 10:23:44 GMT 2023","12888","chromium","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_07_UnReg  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'English' language",""
"failed","Fri Aug 04 10:20:19 GMT 2023","Fri Aug 04 10:20:37 GMT 2023","17646","chromium","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_03_UnReg  > Test buttons [Trade] on Widget ""Most traded"" on 'English' language",""
"passed","Fri Aug 04 10:30:23 GMT 2023","Fri Aug 04 10:30:40 GMT 2023","16921","chromium","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_07_Auth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'English' language",""
"passed","Fri Aug 04 10:27:30 GMT 2023","Fri Aug 04 10:27:48 GMT 2023","18481","chromium","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_07_UnAuth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'English' language",""
"passed","Fri Aug 04 10:19:15 GMT 2023","Fri Aug 04 10:19:32 GMT 2023","16841","chromium","","US_11-02-02_Education > Menu item [Share trading] on UnReg Role","","","TC_11.02.02_01_UnReg  > Test button [Start Trading] in Main banner on 'English' language",""
"skipped","Fri Aug 04 10:28:37 GMT 2023","Fri Aug 04 10:28:37 GMT 2023","103","chromium","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_03_Auth  > Test buttons [Trade] on Widget ""Most traded"" on 'English' language",""
"failed","Fri Aug 04 10:25:33 GMT 2023","Fri Aug 04 10:25:58 GMT 2023","24201","chromium","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_02_UnAuth  > Test button [Try Demo] in Main banner on 'English' language",""
